,Producto,Marca,Cantidad,Caloria,Grasa,Carbohidrato,Proteina
91,Pate Jamon Ahumado,,por 1 cucharada de té (10g) ,27kcal,"2,60g","0,00g","0,80g"
92,Pate de Foie,,por 1 cucharada de te (10g) ,22kcal,"2,00g","0,00g","1,00g"
93,Pate al Champignon,,por 1 cuchara de té (10g) ,33kcal,"3,10g","0,00g","1,30g"
94,Tomates Peritas ,Arcor,por 1/2 taza de té (130g) ,23kcal,"0,00g","4,50g","0,90g"
95,Salchicha o Perro Caliente con Salsa de Tomate y / o Mostaza,,por 1 salchicha en pan ,284kcal,"16,59g","22,85g","10,24g"
96,Salsa de Soya Reducida de Sodio,Vanoli,por 1 cucharada ,8kcal,"0,01g","1,36g","0,83g"
97,Salsa Fileto Light,Knorr,por 1 cucharada de sopa (60g) ,13kcal,"0,00g","2,50g","0,60g"
98,Salsa Lista Bolognesa,Aguila,por 3 cucharadas de sopa (60g) ,20kcal,"0,00g","3,80g","1,10g"
99,Nut Sabor Avellana,Knorr,por 100g ,535kcal,"33,00g","52,00g","8,00g"
100,Mostacholes con Salsa Napolitana,Molto,por 1 plato hondo (73g) ,251kcal,"1,70g","51,00g","7,60g"
101,"Pollo o Pavo y Verduras en Salsa de Soja (Incluyendo Zanahorias y Brócoli, sin Papas)",Knorr,por 1 taza ,180kcal,"8,59g","9,28g","15,86g"
102,Salsa Pizza,Benidorm,por 1 porción  (60g) ,26kcal,"0,00g","5,20g","0,00g"
103,Salsa Lista Pizza,,por 3 cucharadas de sopa (60g) ,16kcal,"0,00g","3,40g","0,60g"
104,Salsa de Soja (Tamari),,por 1 cucharada ,11kcal,"0,02g","1,00g","1,89g"
105,Salsa Golf,,por 1 cucharada (12g) ,34kcal,"3,20g","1,20g","0,00g"
106,Milanesas de Choclo,San Silvestre,por 1 milanesa (80g) ,153kcal,"0,00g","34,00g","4,30g"
107,Granos de Choclo Amarillo Enteros,Caracas ,por 1 porción (130g) ,107kcal,"1,60g","19,00g","3,80g"
108,Choclo,Best,por 1 taza de te  (130g) ,52kcal,"0,00g","11,00g","2,10g"
109,Choclo Amarillo Entero,Noel,por 1/2 taza de té (130g) ,77kcal,"3,30g","11,00g","3,30g"
110,Choclo en Granos,Bahia,por 1 taza de té (130g) ,106kcal,"1,60g","19,00g","3,80g"
111,Sopa Quick Crema Choclo a la Manteca,Knorr,por 1 sobre (15g) ,57kcal,"1,60g","9,80g","0,80g"
112,Choclo Amarillo,Ciudad del Lago,por 100g ,54kcal,"1,00g","8,20g","3,10g"
113,Choclo,Canale,por 1/2 taza de té (130g) ,96kcal,"1,60g","17,00g","2,90g"
114,Choclo,Green Life,por 1/2 plato (130g) ,106kcal,"1,60g","18,00g","4,90g"
115,Choclo Blanco Tipo Cremoso,Ciudad del Lago,por 1 porción (116g) ,80kcal,"0,00g","18,00g","2,00g"
116,Arvejas Partidas,Olinto,por 1/2 taza (50g) ,156kcal,"0,00g","28,00g","11,00g"
117,Arvejas Secas Remojadas,La Colina,por 1/2 taza de té (130g) ,103kcal,"0,00g","18,00g","6,00g"
118,Arvejas,Cooperativa,por 1 taza de te (103g) ,100kcal,"1,10g","16,00g","6,40g"
119,Milanesas de Arvejas,Via Veg,por 1 unidad (110g) ,207kcal,"2,00g","39,00g","8,20g"
120,Torrejas de Arvejas con Espinaca,Molé,por 1/4 paquete (50g) ,141kcal,"1,80g","26,00g","5,00g"
121,Arvejas ,La Banda,por 1 taza de té (130g) ,129kcal,"0,60g","23,00g","7,80g"
122,Arvejas,Great Value,por 1 taza de té (130g) ,122kcal,"0,00g","21,00g","9,50g"
123,Arvejas sin Sal,Cooperativa,por 1/2 lata (130g) ,64kcal,"0,00g","12,00g","4,00g"
124,Arvejas,Carrefour,por 1 porción (130g) ,142kcal,"0,70g","25,00g","8,70g"
125,Fusilli de Arveja,Makarona,por 1 plato (80g) ,256kcal,"0,00g","46,00g","18,00g"
126,Veggies Lentejas y Arroz Yamaní,Granja del Sol,por 1 hamburguesa (105g) ,182kcal,"0,90g","35,00g","9,00g"
127,Lentejas,Morixe,por 1/2 taza (60g) ,170kcal,"0,60g","28,00g","13,00g"
128,Lentejas,Marolio,por 1/2 taza de té (60g) ,210kcal,"0,70g","36,00g","15,00g"
129,Lentejas,Mister Food,por 1/2 taza (60g) ,142kcal,"0,70g","18,00g","16,00g"
130,Lentejas con Arroz,Ciudad del Lago,por 1 plato ,445kcal,"16,47g","60,48g","14,49g"
131,Lentejas Secas Remojadas,Primer Precio,por 1 taza de té (130g) ,102kcal,"0,00g","18,00g","7,50g"
132,Lentejas,Primer Precio,por 1 porción (130g) ,103kcal,"0,00g","18,00g","7,50g"
133,Lentejas Secas ,Verizzia,por 1 taza de té (60g) ,194kcal,"0,00g","32,00g","16,00g"
134,Lentejas,Arcor,por 1 porción (60g) ,173kcal,"0,60g","28,00g","14,00g"
135,Lentejas,,por 100g ,85kcal,"0,00g","13,00g","7,80g"
136,Porotos,Doña Pupa,por 1 taza (130g) ,129kcal,"1,00g","19,00g","11,00g"
137,Porotos,Jumbo,por 1/2 taza de té (60g) ,152kcal,"0,60g","22,00g","14,00g"
138,Porotos con Riendas,Wakas,por 1 taza ,434kcal,"13,21g","61,11g","20,05g"
139,Pasta de Legumbres Poroto,Alco,por 100g ,379kcal,"4,00g","62,00g","24,00g"
140,Porotos,Elio,por 1/2 taza (130g) ,109kcal,"0,00g","21,00g","5,00g"
141,Porotos Alubia,COTO,por 1/2 taza (60g) ,157kcal,"0,50g","44,00g","14,00g"
142,Porotos Negros,La Egipciana,por 1/4 taza de té (60g) ,209kcal,"1,00g","35,00g","15,00g"
143,Porotos Colorados,Carrefour,por 1 porción (60g) ,210kcal,"0,90g","34,00g","16,00g"
144,Porotos Alubia ,Sytari,por 1/2 taza de té (60g) ,152kcal,"0,60g","22,00g","14,00g"
145,Porotos Bolita,,por 1 taza de té (60g) ,152kcal,"1,00g","24,00g","12,00g"
146,Harina de Garbanzo,Makarona,por 100 g ,387kcal,"6,69g","57,82g","22,39g"
147,Fideos de Garbanzo,Nutrileza,por 1 plato (80g) ,279kcal,"6,00g","32,00g","24,00g"
148,"Hamburguesa Orégano, Garbanzo y Mostaza ",La Egipciana,por 1 unidad  (90g) ,88kcal,"0,00g","18,00g","4,00g"
149,Arvejas Partidas,Ramoneda,por 1/2 taza (60g) ,205kcal,"0,60g","37,00g","13,00g"
150,Garbanzos,Alco,por 1/2 taza (60g) ,215kcal,"3,00g","36,00g","12,00g"
151,Garbanzos,Makarona,por 1 porción (130g) ,155kcal,"2,60g","25,00g","7,80g"
152,Fusilli De Garbanzo,Carrefour,por 1 plato (80g) ,274kcal,"6,00g","43,00g","13,00g"
153,Porotos Secos Remojados,Doña Pupa,por 1/2 taza de té (130g) ,106kcal,"0,00g","19,00g","8,00g"
154,Jardinera,Okey,por 1 taza de producto escurrido (130g) ,98kcal,"0,00g","20,00g","4,60g"
155,Garbanzos,,por 1 porción (130g) ,146kcal,"2,70g","22,00g","8,50g"
156,Arvejas,La Campagnola,por 100g ,110kcal,"0,50g","20,00g","6,30g"
157,Porotos con Mazamorra,Carrefour,por 100 g ,107kcal,"3,16g","16,95g","4,67g"
158,Fabada,San Remo,por 100 g ,162kcal,"8,84g","14,94g","6,37g"
159,Vainicas,Egran,por 100 g ,31kcal,"0,12g","7,13g","1,82g"
160,Chifrijo,,por 1 taza ,361kcal,"9,02g","50,18g","19,26g"
161,Soja Texturizada,,por 100 g ,330kcal,"1,22g","38,37g","47,01g"
162,Arroz con Habichuela,,por 100 g ,140kcal,"5,10g","20,90g","2,53g"
163,Garbanzos Secos Remojados,,por 1 taza de té (130g) ,115kcal,"2,30g","17,00g","6,60g"
164,Porotos,,por 1/2 taza de té (130g) ,115kcal,"1,00g","19,00g","11,00g"
165,Porotos Bolita,,por 1/2 taza de té (60g) ,155kcal,"1,00g","24,00g","12,00g"
166,Cazuela de Atún con Verduras y Crema de Champiñones,Knorr,por 1 taza ,381kcal,"19,13g","22,02g","29,25g"
167,Caldo de Pescado,Knorr,por 1 taza ,39kcal,"1,46g","0,98g","4,88g"
168,Sopa de Tomate (Preparada con Agua),,por 1 taza ,76kcal,"0,71g","16,84g","2,03g"
169,Porotos con Tallarines,,por 1 taza ,256kcal,"7,85g","38,22g","9,62g"
170,Quick Consome con Cubitos de Pan Tostado,,por 1 sobre (11g) ,42kcal,"1,70g","6,00g","0,80g"
171,Sopa Wantán,,por 1 taza ,181kcal,"7,06g","14,24g","14,17g"
172,Menudo,,por 1 taza ,104kcal,"4,63g","9,37g","6,36g"
173,"Gumbo (Tipo New Orleans con Mariscos, Carne de Cerdo y / o Aves de Corral, Tomates y Quimbombó)",,por 1 taza ,178kcal,"8,39g","11,10g","14,57g"
174,Caldo de Verduras Light sin Calorias,,por 1 sobre (3g) ,0kcal,"0,00g","0,00g","0,00g"
175,Sopa de Miso,,por 1 taza ,84kcal,"3,36g","7,78g","6,02g"
176,Relleno Mezcla para Chocotorta,La Serenísima,por 1 cuchara de sopa (20g) ,45kcal,"1,40g","7,20g","0,90g"
177,Alfajor Relleno Sabor Frutilla,Alfa Pampa,por 1 unidad (39g) ,196kcal,"9,80g","25,00g","1,80g"
178,Bombón de Chocolate Relleno,Benot,por 1 bombón  (17g) ,31kcal,"1,00g","10,00g","0,00g"
179,Relleno para Chocotorta,La Serenísima,por 1 porción (20g) ,45kcal,"1,40g","7,20g","0,90g"
180,Relleno de Vegetales para Tarta,Maglia,por 100g ,54kcal,"0,30g","10,00g","2,70g"
181,Obleas Rellenas Sabor Limón ,Oblita,por 1 porción (30g) ,150kcal,"8,00g","20,00g","1,50g"
182,Obleas Rellenas Sabor Chocolate,Dia,por 4 1/2 obleas (30g) ,144kcal,"6,50g","20,00g","1,90g"
183,Pudding Relleno con Marroc,100 Ducados ,por 100g ,368kcal,"17,00g","50,00g","4,80g"
184,Magdalenas Rellenas con Chocolate,Pozo,por 1 unidad (32g) ,132kcal,"6,00g","21,00g","1,00g"
185,Galletitas Rellenas de Chocolate,Maná,por 2 galletitas (25g) ,115kcal,"4,00g","18,00g","1,80g"
186,Palmeritas,,por 1 unidad ,120kcal,"6,85g","13,47g","1,32g"
187,Torta Tres Leches,,por 1 tajada ,375kcal,"11,73g","60,90g","7,80g"
188,Suspiro Limeño,,por 1 porción ,229kcal,"7,31g","33,59g","6,39g"
189,Algodón de Azúcar,,por 1 barra ,110kcal,"0,06g","27,44g","0,00g"
190,Cupcake,,por 1 pieza ,227kcal,"10,93g","29,77g","3,03g"
191,Gofre,,por 1 unidad ,218kcal,"10,54g","24,79g","5,92g"
192,Queque,,por 1 porción ,151kcal,"7,29g","19,85g","2,02g"
193,Bavarois,,por 1 porción ,145kcal,"9,71g","13,31g","1,58g"
194,Mochi,,por 1 unidad ,188kcal,"0,13g","45,47g","1,56g"
195,Gachas,,por 1 porción ,437kcal,"12,71g","75,61g","6,08g"
196,Alfajor Dulce de Leche,Chammas,por 1 unidad (40g) ,153kcal,"7,10g","21,20g","1,00g"
197,Dulce de Leche Dietético,Los Nietitos,por 1 cucharada sopera (20g) ,30kcal,"0,00g","4,70g","1,60g"
198,Dulce de Leche,La Suipachense,por 1 cucharada sopera (20g) ,64kcal,"2,30g","9,00g","1,40g"
199,Dulce de Leche,Singluko,por 1 cucharada sopera (20g) ,32kcal,"0,50g","5,80g","1,00g"
200,Conito de Dulce de Leche,Jorgito,por 1 porción (34g) ,122kcal,"4,20g","19,00g","2,00g"
201,Dulce de Leche Light,SanCor,por 1 cucharada sopera (20g) ,55kcal,"0,00g","12,00g","1,30g"
202,Sublime Dulce de Leche,SanCor,por 100g ,159kcal,"3,50g","28,00g","3,90g"
203,"Lomo de Res (Magro, Cortado a 0,5 Cm de Grasa)",Beepure,por 100 g ,169kcal,"8,85g","0,00g","20,78g"
204,Dulce de Leche sin Azucar,,por 1 cuchara de sopa (20g) ,43kcal,"0,50g","12,00g","1,19g"
205,"Lomo de Res (Magro, Recortado a 0,3 Cm de Grasa)",,por 100 g ,127kcal,"3,54g","0,00g","22,27g"
206,Mermelada Light de Damasco,Arcor,por 1 cucharada de sopa (20g) ,27kcal,"0,00g","7,00g","0,00g"
207,Mermelada de Higo,El Brocal,por 1 cucharada (20g) ,51kcal,"0,00g","12,00g","0,30g"
208,Mermelada Frutos Rojos,Dia,por 1 cucharada (20g) ,50kcal,"0,00g","13,00g","0,00g"
209,Mermelada de Durazno Light,El Brocal,por 1 cucharada  ,32kcal,"0,00g","8,20g","0,00g"
210,Mermelada de Durazno sin Azucar,Orieta,por 1 cucharada sopera (20g) ,26kcal,"0,00g","7,00g","0,00g"
211,Mermelada de Frutilla,Best,por 1 cuchara de sopa (20g) ,53kcal,"0,00g","13,00g","0,00g"
212,Mermelada de Durazno con Semillas,Cuarto Creciente,por 1 cucharada (20g) ,10kcal,"0,32g","1,60g","0,20g"
213,Mermelada de Frutilla ,La Campagnola,por 1 cucharada de sopa (20g) ,55kcal,"0,00g","14,00g","0,00g"
214,Mermelada de Arándano Light,Canale,por 1 cucharada sopera (20g) ,31kcal,"0,00g","6,80g","0,70g"
215,Mermelada de Frutilla,Arcor,por 1 cucharada sopera (20g) ,52kcal,"0,00g","13,00g","0,00g"
216,Stax,Lay's,por 100g ,530kcal,"32,00g","57,00g","3,60g"
217,Papas Fritas sin Sal,Primer Precio,por 1 porción (25g) ,130kcal,"8,00g","13,00g","1,50g"
218,Crema Ácida y Papas Fritas con Sabor a Cebolla,Dia,por 100 g ,531kcal,"33,90g","51,50g","8,10g"
219,Potato Crisps Sabor Crema y Cebolla,Lay's,por 14 unidades (25g) ,135kcal,"8,00g","14,00g","1,00g"
220,Restó Lomo con Cebolla Caramelizada,3D,por 1 porción (25g) ,126kcal,"7,90g","12,00g","1,80g"
221,Megatube Mega Queso,,por 1 taza de té (25g) ,132kcal,"7,90g","14,00g","1,30g"
222,Galletas de Azúcar (Incluye Vainilla),,por 1 galleta ,72kcal,"3,16g","10,18g","0,76g"
223,Galletas (con Relleno de Vainilla),,por 1 roscón ,48kcal,"2,00g","7,21g","0,45g"
224,Galletas de Chocolate (con Mantequilla),,por 1 mediana ,78kcal,"4,54g","9,31g","0,91g"
225,Pasta de Trigo Entero Seco,,por 100 g ,348kcal,"1,40g","75,03g","14,63g"
226,Pizza de Pepperoni (36 Cm),,por 1 tajada ,298kcal,"12,13g","33,98g","13,32g"
227,"Sustituto de Crema (Ligero, Líquido)",,por 1 taza ,167kcal,"8,47g","22,02g","1,94g"
228,Crema Agria (de Cultivo),,por 1 cucharada ,26kcal,"2,52g","0,51g","0,38g"
229,Fondue de Queso,,por 1 taza ,492kcal,"28,96g","8,11g","30,59g"
230,Corazón de Pollo,,por 100 g ,153kcal,"9,33g","0,71g","15,55g"
231,Carne Molida de Avestruz,,por 100 g ,165kcal,"8,70g","0,00g","20,22g"
232,Manteca de Maní,Sytari,por 1 cucharada (15g) ,91kcal,"6,80g","4,00g","3,40g"
233,Turrón de Mani,Body Vida,por 1 turrón (20g) ,88kcal,"3,00g","15,00g","1,00g"
234,Maní con Chocolate,Georgalos,por 2 1/2 cucharada de sopa (25g) ,145kcal,"10,00g","9,00g","5,00g"
235,Barra Crocante de Arroz Inflado con Maní y Miel,Egran,por 1 barra (20g) ,84kcal,"1,30g","17,00g","1,10g"
236,Maní Salado sin Piel,Croppers,por 100g ,601kcal,"49,00g","15,00g","25,00g"
237,Crema de Maní Proteica ,Byour Food,por 1 cucharada (17g) ,95kcal,"7,70g","1,50g","4,90g"
238,Maní Crocante,Mani King,por 100g ,464kcal,"24,00g","47,00g","15,00g"
239,Crema de Maní Natural,Hardy,por 1 cucharada de sopa (25g) ,119kcal,"9,90g","2,70g","4,80g"
240,Garrapiñadas de Maní,Bonafide,por 25 unidades ,115kcal,"4,40g","16,00g","2,40g"
241,Frutos Mezclados Tostados con Maní,,por 1 porción de 10 frutos secos variados ,86kcal,"7,89g","3,00g","2,35g"
242,Galletitas Dulces,Alfa Pampa,por 1 unidad (19g) ,78kcal,"4,40g","9,00g","0,80g"
243,Pan Dulce de Canela (con Crema de Vainilla),Cachafaz,por 1 rollo ,100kcal,"3,66g","15,48g","1,50g"
244,Maíz Dulce,Carrefour,por 100 g ,86kcal,"1,18g","19,02g","3,22g"
245,Galletitas,Rocklets,por 2 galletitas (25g) ,101kcal,"4,50g","13,00g","2,20g"
246,Galletitas Dulces Multifruta,Ser,por 3 unidades (35g) ,153kcal,"5,40g","24,00g","2,00g"
247,Galletitas ,9 de Oro,por 3 galletitas (32g) ,153kcal,"6,50g","22,00g","2,00g"
248,Masa de Pan Dulce Rellena de Carne (al Vapor),Frutigran,por 1 manapua ,215kcal,"8,89g","21,74g","10,76g"
249,Galletitas Dulces Sabor Vainilla,,por 8 galletitas (32g) ,127kcal,"2,40g","23,00g","2,90g"
250,Bizcochos de Arroz Dulces,,por 18 galletas (25g) ,95kcal,"0,00g","22,00g","1,70g"
251,Galletitas Dulces con Salvado,,por 2 galletas (30g) ,130kcal,"4,50g","20,00g","2,30g"
252,Palomitas de Maíz con Sabor a Queso,,por 1 taza ,58kcal,"3,65g","5,68g","1,02g"
253,Imitación del Cangrejo Rey de Alaska (a Partir de Surimi),,por 100 g ,102kcal,"1,31g","10,22g","12,02g"
