,Producto,Marca,Cantidad,Caloria,Grasa,Carbohidrato,Proteina
508,Chimichanga con Carne y Queso,,por 1 chimichanga ,443kcal,"23,44g","39,33g","20,06g"
509,Enchilada de Queso y Carne,,por 1 enchilada ,323kcal,"17,64g","30,47g","11,92g"
510,Sánduche de Carne Asada con Queso,,por 1 sánduche ,473kcal,"18,00g","45,37g","32,23g"
511,Sánduche de Carne,,por 1 sánduche ,459kcal,"14,08g","51,96g","30,33g"
512,Pizza de Carne y Verduras (36 Cm),,por 1 tajada ,332kcal,"14,82g","34,52g","14,99g"
513,Chili con Carne con Frijoles Plato Principal (Enlatados),,por 1 taza ,298kcal,"12,94g","28,12g","17,44g"
514,Carne de Pollo (Asada),,por 100 g ,111kcal,"2,70g","0,00g","20,33g"
515,"Carne de Pollo (Tostado, Asado, Cocido)",,"por 1 taza, picada o en cubitos ",234kcal,"9,28g","0,00g","35,01g"
516,Carne de Pollo Magra (Asada),,por 100 g ,109kcal,"1,63g","0,00g","22,20g"
517,"Carne de Pollo Magra (a la Parrilla, Asada, Cocida)",,por 100 g ,153kcal,"4,07g","0,00g","27,13g"
518,Pollo Teriyaki,Green Eat,por 100 g ,149kcal,"2,85g","6,04g","21,14g"
519,Nuggets de Pollo Bajos en Grasa,,por 1 trozo ,35kcal,"1,14g","2,48g","3,47g"
520,Carne de Pollo (Asada),,por 100 g ,111kcal,"2,70g","0,00g","20,33g"
521,Alitas de Pollo al Horno o Fritas con la Piel (Comiendo la Piel),,por 1 pequeña ,137kcal,"9,16g","4,64g","8,45g"
522,Roll de Pollo,,por 1 porción ,609kcal,"31,00g","37,00g","37,00g"
523,Pollo al Maní,,por 1 taza ,300kcal,"7,41g","37,33g","21,46g"
524,Hamburguesa de Pollo,,por 1 hamburguesa ,142kcal,"7,35g",0g,"17,84g"
525,Pernil de Pollo,,por 1 pequeño ,135kcal,"8,45g",0g,"13,67g"
526,Pollo Frito (Comiendo la Piel),,por 1 tajada delgada ,18kcal,"1,07g",0g,"2,00g"
527,Pechuga de Pollo Empanada,,por 100 g ,297kcal,"18,82g","16,32g","15,59g"
528,Salchichón,Paladini,por 1 porción ,127kcal,"10,50g","0,59g","6,94g"
529,Flamenquín,,por 1 porción ,424kcal,"15,15g","37,47g","31,84g"
530,Presa Ibérica,,por 100 g ,216kcal,"13,95g",0g,"21,11g"
531,Chorizos,,"por 1 tira (8,5 cm de largo) ",200kcal,"16,84g","0,82g","10,60g"
532,Paleta de Cerdo Cocida,,por 1 feta (33g) ,32kcal,"1,20g","0,00g","5,00g"
533,Chicharrón Prensado,,por 100 g ,400kcal,"36,98g",0g,"15,61g"
534,Pincho Moruno,,por 1 pincho ,293kcal,"20,70g","1,25g","24,14g"
535,Rebanadas de Jamón,,por 1 tajada ,34kcal,"1,76g","0,48g","3,83g"
536,Oreja de Cerdo,,por 1 oreja ,184kcal,"11,99g","0,22g","17,70g"
537,Salchicha de Carne de Cerdo Fresca,,por 1 porción de 2 tiras ,170kcal,"14,86g","0,00g","8,45g"
538,Melón Galia,,por 100 g ,23kcal,"0,20g","5,58g","0,62g"
539,Melones Cantaloupe,,"por 1 taza, bolas ",60kcal,"0,34g","14,44g","1,49g"
540,Maracuyá,,por 1 fruta ,17kcal,"0,13g","4,21g","0,40g"
541,Manzana de Agua,,por 100 g ,25kcal,"0,30g","5,70g","0,60g"
542,Piña,,"por 1 taza, cubitos ",74kcal,"0,19g","19,58g","0,84g"
543,Guindas Rojas Ácidas,,por 1 taza ,52kcal,"0,31g","12,55g","1,03g"
544,Moras,,por 1 taza ,62kcal,"0,71g","13,84g","2,00g"
545,Yaca,,por 100 g ,94kcal,"0,30g","24,01g","1,47g"
546,Peras Asiáticas,,"por 1 fruta 5,5 cm de alto x 6,5 cm de diámetro ",51kcal,"0,28g","12,99g","0,61g"
547,Tamarindo,,por 1 fruta ,5kcal,"0,01g","1,25g","0,06g"
548,Alcachofas Cocidas (Frescas),,por 1 globo mediano ,84kcal,"2,86g","13,59g","4,21g"
549,"Guisantes (Dreanados, Enlatados)",,por 100 g ,69kcal,"0,35g","12,58g","4,42g"
550,Chirivías,,por 100 g ,75kcal,"0,30g","17,99g","1,20g"
551,Okra,,por 1 taza ,31kcal,"0,10g","7,03g","2,00g"
552,Bellotas de Calabaza Invierno,,"por 1 taza, cubitos ",56kcal,"0,14g","14,59g","1,12g"
553,Puré de Verduras,,por 1 taza ,199kcal,"7,09g","31,00g","5,02g"
554,Tomates Rojos (Enlatados),,por 1 taza ,41kcal,"0,31g","9,38g","1,92g"
555,Snowpeas (Vaina de Guisante),,por 1 taza ,26kcal,"0,13g","4,76g","1,76g"
556,Papa Dulce,,por 100 g ,86kcal,"0,05g","20,12g","1,57g"
557,Arvejas Verdes Cocidas,,"por 1 taza, productos frescos, congelados o enlatados ",167kcal,"4,04g","25,01g","8,55g"
558,"Yogur de Frutas (Bajo en Grasa, Proteína 11G por 8 Oz)",,por 1 envase (225 g) ,238kcal,"3,20g","42,22g","11,03g"
559,Frutos Tostados en Seco (con Maní Salado),,por 100 g ,594kcal,"51,45g","25,35g","17,30g"
560,Champiñones Blancos (Fritos),,"por 1 taza, con rodajas ",28kcal,"0,36g","4,36g","3,87g"
561,Fideos Secos de Huevo,,por 1 taza ,146kcal,"1,69g","27,08g","5,38g"
562,Frutos Secos de Pino,,por 100 g ,673kcal,"68,37g","13,08g","13,69g"
563,Semillas Secas de Sésamo Integrales,,por 1 cucharada ,52kcal,"4,47g","2,11g","1,60g"
564,Pistachos Tostados en Seco (Salados),,por 100 g ,568kcal,"45,97g","26,78g","21,35g"
565,Salami de Cerdo (Seco o Duro),,por 1 tajada ,41kcal,"3,37g","0,16g","2,26g"
566,"Ensalada de Frutas Tropicales (Papaya Banano Piña y Guayaba, Sólidos y Líquidos, Almíbar en Conserva, Enlatados)",,por 1 taza ,221kcal,"0,26g","57,47g","1,05g"
567,Pastel Hecho con Arroz Glutinoso y Fríjoles Secos,,por 1 trozo ,30kcal,"0,05g","6,02g","1,25g"
568,Pan de Lino,La Salteña,por 100 g ,327kcal,"8,23g","51,72g","11,15g"
569,Pan de Centeno,Lucchetti,por 1 tajada normal ,67kcal,"0,86g","12,56g","2,21g"
570,Bollo de Leche,,por 1 unidad ,266kcal,"10,15g","35,78g","7,50g"
571,Migas,,por 1 porción ,1008kcal,"64,35g","59,63g","45,54g"
572,Pan de Pita Tostado,,por 1 pequeño ,79kcal,"0,34g","15,91g","2,60g"
573,Tostadas de Pan Integral,,por 1 tajada normal ,68kcal,"1,06g","12,32g","2,39g"
574,Pan de Queso,,por 1 tajada ,71kcal,"1,24g","12,52g","2,21g"
575,Pan de Pueblo,,por 1 tajada normal ,66kcal,"0,84g","12,55g","2,22g"
576,Pan Lacteado,,por 1 porción (50g) ,121kcal,"1,30g","22,00g","5,20g"
577,Tortas Fritas,,por 3 cucharadas soperas (27g) ,92kcal,"1,20g","18,00g","2,50g"
578,Pan Integral,,por 1 tajada ,69kcal,"1,18g","12,91g","2,72g"
579,Pan Italiano,,"por 1 tajada, tamaño medio ",54kcal,"0,70g","10,00g","1,76g"
580,Pan Integral de Centeno,,"por 1 tajada, tamaño medio ",65kcal,"0,81g","12,35g","2,26g"
581,Pan de Pita Blanca,,por 1 grande ,165kcal,"0,72g","33,42g","5,46g"
582,Pan de Salvado,,por 1 rebanada ,71kcal,"1,32g","11,94g","3,12g"
583,Pan de Centeno Tostado,,"por 1 tajada, tamaño medio ",68kcal,"0,86g","12,74g","2,26g"
584,Palitos de Pan,,"por 1 barra (19,5 cm x 1,5 cm) ",41kcal,"0,95g","6,84g","1,20g"
585,Pan de Pasas,,por 1 tajada ,71kcal,"1,14g","13,60g","2,05g"
586,Pan Francés con Mantequilla,,por 2 tajadas ,356kcal,"18,76g","36,04g","10,34g"
587,Pan Integral Tostado,,por 1 tajada ,128kcal,"2,48g","23,69g","3,86g"
588,Not Chicken Nuggets,Not Co,por 9 unidades  (130g) ,306kcal,"14,00g","30,00g","15,00g"
589,Nuggets Crocantes (130g),Granja del Sol,por 1 porción  (130g) ,360kcal,"22,00g","21,00g","19,00g"
590,Nuggets de Pollo,Paladini,por 7 nuggets (130g) ,263kcal,"11,00g","22,00g","18,00g"
591,Nuggets de Brócoli ,Frizata,por 3 unidades (85g) ,191kcal,"7,00g","26,00g","6,00g"
592,Nuggets de Pollo,Frizata,por 5 unidades (130g) ,239kcal,"11,00g","14,00g","21,00g"
593,Nuggets de Pollo Crocantes,Sadia,por 6 unidades (130g) ,313kcal,"17,00g","23,00g","16,00g"
594,Nuggets de Pollo con Queso,Sadia,por 10 unidades (130g) ,304kcal,"16,00g","23,00g","17,00g"
595,Nuggets de Poroto Negro a la Mostaza,Molé,por 1/4 paquete (50g) ,144kcal,"1,10g","25,00g","8,30g"
596,Nuggets de Pollo con Jamon,Sadia,por 6 unidades (130g) ,280kcal,"16,00g","16,00g","18,00g"
597,Vegan Nuggets de Garbanzos y Quinoa,Green Kitchen,por 3 porciones del paquete (100g) ,265kcal,"13,00g","25,00g","12,00g"
598,Moras Congeladas,,por 1 taza ,97kcal,"0,65g","23,66g","1,78g"
599,"Maíz Dulce (Granos de Mazorca, Congelados)",,por 1/2 taza ,72kcal,"0,63g","17,06g","2,48g"
600,Tortillas de Papa,,"por 1 pequeña, 7 cm de diámetro 1,5 cm de espesor ",59kcal,"3,24g","6,14g","1,33g"
601,"Barras Pasra Desayunar (Avena, Azúcar, Pasas, Coco, Granola Incluyen Bar)",,por 1 barra ,200kcal,"7,57g","28,68g","4,21g"
602,Pastel de Papas,,por 1 taza ,300kcal,"13,56g","20,41g","23,73g"
603,Papas Deshidratadas,,por 1 porción ,102kcal,"5,37g","12,75g","1,31g"
604,Frambuesas Congeladas sin Endulzante,,por 1 taza ,130kcal,"1,62g","29,85g","3,00g"
605,Cerezas Congeladas,,por 1 porción de 10 ,23kcal,"0,22g","5,62g","0,47g"
606,Fresas Congeladas con Azúcar,,por 1 taza ,222kcal,"0,36g","59,82g","1,33g"
607,Fresas Congeladas,,por 1 taza ,222kcal,"0,36g","59,82g","1,33g"
608,Helado Corazón,Bon o Bon,por 1 helado (50g) ,162kcal,"11,00g","13,00g","3,00g"
609,Yogur Helado Griego,Karinat,por 1 porción (60g) ,100kcal,"1,60g","18,00g","3,40g"
610,Yogures Helados de Chocolate,Yin Yang,por 1/2 taza ,115kcal,"4,32g","17,93g","2,88g"
611,Huevo Hilado,Cindor,por 100 g ,290kcal,"14,95g","30,19g","8,94g"
612,Mijo Pelado,Freddo,por 2 cucharadas de sopa (30g) ,108kcal,"1,00g","21,00g","3,70g"
613,Helado ,Exquisita,por 1 unidad (60g) ,180kcal,"12,00g","16,00g","3,00g"
614,Tableta Rellena Con Helado De Crema Americana,Too Good,por 1 unidad (50g) ,147kcal,"9,50g","13,00g","2,30g"
615,Helado de Chocolate,,por 1 taza (50g) ,59kcal,"2,50g","7,30g","1,90g"
616,Café Helado,,por 1 taza de café ,4kcal,"0,01g","0,67g","0,19g"
617,Helado Chocolate ,,por 1 porción (60g) ,57kcal,"1,00g","10,00g","2,00g"
