,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
605,Cerezas Congeladas,,por 1 porción de 10 ,23,0.22,5.62,0.47
606,Fresas Congeladas con Azúcar,,por 1 taza ,222,0.36,59.82,1.33
607,Fresas Congeladas,,por 1 taza ,222,0.36,59.82,1.33
608,Helado Corazón,Bon o Bon,por 1 helado (50g) ,162,11.0,13.0,3.0
609,Yogur Helado Griego,Karinat,por 1 porción (60g) ,100,1.6,18.0,3.4
610,Yogures Helados de Chocolate,Yin Yang,por 1/2 taza ,115,4.32,17.93,2.88
611,Huevo Hilado,Cindor,por 100 g ,290,14.95,30.19,8.94
612,Mijo Pelado,Freddo,por 2 cucharadas de sopa (30g) ,108,1.0,21.0,3.7
613,Helado ,Exquisita,por 1 unidad (60g) ,180,12.0,16.0,3.0
614,Tableta Rellena Con Helado De Crema Americana,Too Good,por 1 unidad (50g) ,147,9.5,13.0,2.3
615,Helado de Chocolate,,por 1 taza (50g) ,59,2.5,7.3,1.9
616,Café Helado,,por 1 taza de café ,4,0.01,0.67,0.19
617,Helado Chocolate ,,por 1 porción (60g) ,57,1.0,10.0,2.0
