,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
177,Alfajor Relleno Sabor Frutilla,Alfa Pampa,por 1 unidad (39g) ,196,9.8,25.0,1.8
178,Bombón de Chocolate Relleno,Benot,por 1 bombón  (17g) ,31,1.0,10.0,0.0
179,Relleno para Chocotorta,La Serenísima,por 1 porción (20g) ,45,1.4,7.2,0.9
180,Relleno de Vegetales para Tarta,Maglia,por 100g ,54,0.3,10.0,2.7
181,Obleas Rellenas Sabor Limón ,Oblita,por 1 porción (30g) ,150,8.0,20.0,1.5
182,Obleas Rellenas Sabor Chocolate,Dia,por 4 1/2 obleas (30g) ,144,6.5,20.0,1.9
183,Pudding Relleno con Marroc,100 Ducados ,por 100g ,368,17.0,50.0,4.8
184,Magdalenas Rellenas con Chocolate,Pozo,por 1 unidad (32g) ,132,6.0,21.0,1.0
185,Galletitas Rellenas de Chocolate,Maná,por 2 galletitas (25g) ,115,4.0,18.0,1.8
186,Palmeritas,,por 1 unidad ,120,6.85,13.47,1.32
187,Torta Tres Leches,,por 1 tajada ,375,11.73,60.9,7.8
188,Suspiro Limeño,,por 1 porción ,229,7.31,33.59,6.39
189,Algodón de Azúcar,,por 1 barra ,110,0.06,27.44,0.0
190,Cupcake,,por 1 pieza ,227,10.93,29.77,3.03
191,Gofre,,por 1 unidad ,218,10.54,24.79,5.92
192,Queque,,por 1 porción ,151,7.29,19.85,2.02
193,Bavarois,,por 1 porción ,145,9.71,13.31,1.58
194,Mochi,,por 1 unidad ,188,0.13,45.47,1.56
195,Gachas,,por 1 porción ,437,12.71,75.61,6.08
196,Alfajor Dulce de Leche,Chammas,por 1 unidad (40g) ,153,7.1,21.2,1.0
197,Dulce de Leche Dietético,Los Nietitos,por 1 cucharada sopera (20g) ,30,0.0,4.7,1.6
198,Dulce de Leche,La Suipachense,por 1 cucharada sopera (20g) ,64,2.3,9.0,1.4
199,Dulce de Leche,Singluko,por 1 cucharada sopera (20g) ,32,0.5,5.8,1.0
200,Conito de Dulce de Leche,Jorgito,por 1 porción (34g) ,122,4.2,19.0,2.0
201,Dulce de Leche Light,SanCor,por 1 cucharada sopera (20g) ,55,0.0,12.0,1.3
202,Sublime Dulce de Leche,SanCor,por 100g ,159,3.5,28.0,3.9
203,"Lomo de Res (Magro, Cortado a 0,5 Cm de Grasa)",Beepure,por 100 g ,169,8.85,0.0,20.78
204,Dulce de Leche sin Azucar,,por 1 cuchara de sopa (20g) ,43,0.5,12.0,1.19
